14:45:35 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:46 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:45:46 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
14:45:46 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 18568 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
14:45:46 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
14:45:47 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:47 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:47 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:47 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:47 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.49 seconds (process running for 12.762)
14:45:48 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:48 [main] INFO  p.service1.service1.service.Service1 - Method: generateJson | Size: 10
14:45:48 [Thread-5] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:16:31 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:16:41 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:16:41 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
15:16:41 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 25856 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
15:16:41 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
15:16:42 [main] INFO  p.service1.service1.service.Service1 - Service started
15:16:42 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:16:42 [main] INFO  p.service1.service1.service.Service1 - Service started
15:16:42 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:16:43 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.34 seconds (process running for 12.668)
15:16:43 [main] INFO  p.service1.service1.service.Service1 - Service started
15:16:43 [Thread-5] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:16:43 [main] INFO  p.service1.service1.service.Service1 - Method: generateJson | Size: 10
15:17:51 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:18:01 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:18:02 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
15:18:02 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 28656 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
15:18:02 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
15:18:03 [main] INFO  p.service1.service1.service.Service1 - Service started
15:18:03 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:18:03 [main] INFO  p.service1.service1.service.Service1 - Service started
15:18:03 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:18:03 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.373 seconds (process running for 12.632)
15:18:04 [main] INFO  p.service1.service1.service.Service1 - Service started
15:18:04 [Thread-5] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
15:18:04 [main] INFO  p.service1.service1.service.Service1 - Method: generateJson | Size: 10
